id,listing_type,property_type,price,location_city,location_city_district,area_property,area_land,construction_type,num_floors_building,apartment_floor,registered,heating_type,num_rooms,num_bathrooms,source
92,s,a,89400.0,novi sad,liman 2,62.0,,,,3.0,True,Centralno,2.5,1.0,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/liman-2/5edfe3632731710e444b5083
93,s,a,109000.0,beograd,stari grad,71.0,,1974,9.0,7.0,False,Centralno,2.0,1.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/bulevar-despota-stefana/5f33e493db457b25e9414313
94,s,a,149500.0,beograd,stari grad,74.0,,1939,4.0,2.0,True,Centralno,3.0,1.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/zorza-klemansoa/5f3125a85fc7af6202423f83
95,s,a,108000.0,beograd,zvezdara,60.0,,2020,4.0,3.0,False,Etažno,2.5,1.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/varovnicka/5eee04e82731711a7b004f23
96,s,a,145000.0,beograd,vracar,96.0,,2005,2.0,1.0,True,Etažno,4.5,1.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/danicareva/5eeb7e0027317148e9730243
97,s,a,180000.0,beograd,palilula,94.0,,2006,5.0,4.0,True,Centralno,4.0,1.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/primorska/5ee2354e2731713c385e8223
98,s,a,139000.0,beograd,vracar,72.0,,1935,4.0,3.0,True,Struja,2.5,1.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/maksima-gorkog/5eda307b2731717f0921d273
99,s,a,200000.0,beograd,novi beograd,100.0,,1964,17.0,10.0,True,Centralno,4.0,2.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/bulevar-mihajla-pupina/5ed7e1c627317159674a7c93
100,s,a,300000.0,beograd,novi beograd,123.0,,2005,6.0,2.0,True,Centralno,5.0,1.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/bulevar-zorana-djindjica/5de67473273171036f55f433
101,s,a,95900.0,novi sad,sajmiste,69.0,,2019,4.0,2.0,False,Etažno,2.5,1.0,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/sajmiste/5ed20e422731712afa741d53
102,s,a,28000.0,subotica,subotica opstina,35.0,,,,0.0,False,,1.0,1.0,https://www.4zida.rs/prodaja/stanovi/subotica-opstina/oglas/centar-2/5ee379ce2731712e8c79d613
103,s,a,120000.0,beograd,cukarica,55.0,,2017,7.0,6.0,True,Gas,2.0,1.0,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/nodilova/5f2b0c3b0c7cde7aff2e19b4
104,s,a,46000.0,zlatibor,zlatibor opstina,32.0,,2020,2.0,0.0,False,,1.5,1.0,https://www.4zida.rs/prodaja/stanovi/zlatibor-opstina/oglas/kiridzijska/5f3d73a884e66e6d2b06c803
105,s,a,72100.0,novi sad,bulevar oslobodjenja,48.0,,2006,,4.0,True,,2.0,1.0,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/bulevar-oslobodjenja/5f23e6e7155e1c0aea1884c3
106,s,a,106700.0,novi sad,nova detelinara,74.0,,2013,,2.0,True,,3.0,2.0,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/nova-detelinara/5f15c8d46807e066f557e793
