id,listing_type,property_type,price,location_city,location_city_district,area_property,area_land,construction_type,num_floors_building,apartment_floor,registered,heating_type,num_rooms,num_bathrooms,source
92,s,a,89400,Novi Sad,Liman 2,62,,,,3,t,Centralno,2.5,1,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/liman-2/5edfe3632731710e444b5083
93,s,a,109000,Beograd,Stari Grad,71,,1974,9,7,f,Centralno,2,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/bulevar-despota-stefana/5f33e493db457b25e9414313
94,s,a,149500,Stari Grad,Dorćol,74,,1939,4,2,t,Centralno,3,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/zorza-klemansoa/5f3125a85fc7af6202423f83
95,s,a,108000,Beograd,Zvezdara,60,,2020,4,3,f,Etažno,2.5,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/varovnicka/5eee04e82731711a7b004f23
96,s,a,145000,Beograd,Vračar,96,,2005,2,1,t,Etažno,4.5,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/danicareva/5eeb7e0027317148e9730243
97,s,a,180000,Beograd,Palilula,94,,2006,5,4,t,Centralno,4,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/primorska/5ee2354e2731713c385e8223
98,s,a,139000,Beograd,Vračar,72,,1935,4,3,t,Struja,2.5,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/maksima-gorkog/5eda307b2731717f0921d273
99,s,a,200000,Beograd,Novi Beograd,100,,1964,17,10,t,Centralno,4,2,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/bulevar-mihajla-pupina/5ed7e1c627317159674a7c93
100,s,a,300000,Beograd,Novi Beograd,123,,2005,6,2,t,Centralno,5,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/bulevar-zorana-djindjica/5de67473273171036f55f433
101,s,a,95900,Novi Sad,Sajmište,69,,2019,4,2,f,Etažno,2.5,1,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/sajmiste/5ed20e422731712afa741d53
102,s,a,28000,Subotica opština,Subotica grad,35,,,,0,f,,1,1,https://www.4zida.rs/prodaja/stanovi/subotica-opstina/oglas/centar-2/5ee379ce2731712e8c79d613
103,s,a,120000,Beograd,Čukarica,55,,2017,7,6,t,Gas,2,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/nodilova/5f2b0c3b0c7cde7aff2e19b4
104,s,a,46000,Zlatibor opština,Zlatibor grad,32,,2020,2,0,f,,1.5,1,https://www.4zida.rs/prodaja/stanovi/zlatibor-opstina/oglas/kiridzijska/5f3d73a884e66e6d2b06c803
105,s,a,72100,Novi Sad,Bulevar Oslobođenja,48,,2006,,4,t,,2,1,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/bulevar-oslobodjenja/5f23e6e7155e1c0aea1884c3
106,s,a,106700,Novi Sad,Nova Detelinara,74,,2013,,2,t,,3,2,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/nova-detelinara/5f15c8d46807e066f557e793
107,s,a,83000,Beograd,Čukarica,77,,,8,7,t,,2.5,1,https://www.4zida.rs/prodaja/stanovi/beograd/oglas/partizanske-vode/5f12d77d6762a91e674b7e03
1393,s,a,98880,Novi Sad,Novo Naselje,80,,,4,2,t,Centralno,3,1,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/novo-naselje/5ed144770c7cde320672dfdc
1394,s,a,135000,Novi Sad,Liman 4,120,,2019,,5,f,Gas,4,2,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/liman-4/5ed245df0c7cde321b5cabe2
1395,s,a,66950,Novi Sad,Sajmište,55,,,6,3,t,Centralno,2,1,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/sajmiste/5ed266820c7cde42ca7555c5
1396,s,a,89000,Novi Sad,Nova Detelinara,75,,2007,6,5,t,Centralno,3,1,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/nova-detelinara/5ed4e9080c7cde06464f93a3
1397,s,a,76220,Novi Sad,Novi Sad - Centar,51,,,4,2,t,Centralno,2,1,https://www.4zida.rs/prodaja/stanovi/novi-sad/oglas/novi-sad-centar/5ed60db19a30911a85513c0a
1398,s,a,40000,Zaječar opština,Zaječar grad,68,,1965,3,2,t,Etažno,3,1,https://www.4zida.rs/prodaja/stanovi/zajecar-opstina/oglas/timocke-bune/5f3a3f499a309110c34d4398
1399,s,a,75000,Kruševac opština,Kruševac grad,90,,2018,4,4,f,Gas,4,2,https://www.4zida.rs/prodaja/stanovi/krusevac-opstina/oglas/majke-jugovica-81-bivsa-zakiceva-ulica-krusevac/5be84ca49a30915b0012f1bb
